Stock_Take_Transaction_ID,ST_Year,Material_Item_ID,Stock_Take_Comment,Material_Length_Measured_m,Length_Measured_Indicator,Material_Width_Measured_m,Width_Measured_Indicator,Material_Full_Units_Counted,Full_Units_Counted_Indicator,Material_Quantity_Scrapped,Material_Scrapped_Indicator,Material_Unit_Price_incl_VAT,Unit_Price_Available_Indicator,VAT_Decimal,VAT_Percentage,Material_Source_Quantity_on_Hand_Value_excl_VAT,Stock_Take_Date_Key,Material_Item_Key,Material_Item_Standard_Length_mm,Material_Item_Standard_Width_or_Diameter_mm,Material_Item_Quantity_Unit_of_Measure,Stock_Take_Indicators_Key,Import_Action,Effective_Date,IBPT_ID,Material_Unit_Price_excl_VAT,Material_Quantity_Counted,Material_Quantity_on_Hand,Material_Value_Scrapped_excl_VAT,Material_Value_on_Hand_excl_VAT,ErrorCode,ErrorColumn,ErrorDescription

ST2021115,2021,ALM00021,*None,4.100,Length measured,,No width measured,,No full units counted,,No material scrapped,9.38,Unit price available,.14,14%,33.735087720000003,20210101,21,-1.00,9.50,m,1,Insert,2021/12/01,9,8.2280701754385959,4.100000000000000,4.0999999999999996,0,33.735087719298242,-1071607683,0,The data value violates integrity constraints.

ST2021116,2021,ALM00022,*None,57.810,Length measured,,No width measured,,No full units counted,,No material scrapped,14.25,Unit price available,.14,14%,722.625,20210101,22,-1.00,10.00,m,1,Insert,2021/12/01,9,12.5,57.810000000000000,57.810000000000002,0,722.625,-1071607683,0,The data value violates integrity constraints.

ST2021117,2021,ALM00023,*None,19.480,Length measured,,No width measured,,No full units counted,,No material scrapped,21.66,Unit price available,.14,14%,370.12,20210101,23,-1.00,12.00,m,1,Insert,2021/12/01,9,19,19.480000000000000,19.48,0,370.12,-1071607683,0,The data value violates integrity constraints.

ST2021118,2021,ALM00024,*None,1.845,Length measured,,No width measured,,No full units counted,,No material scrapped,21.66,Unit price available,.14,14%,35.055,20210101,24,-1.00,12.70,m,1,Insert,2021/12/01,9,19,1.845000000000000,1.845,0,35.055,-1071607683,0,The data value violates integrity constraints.

ST2021119,2021,ALM00025,*None,14.350,Length measured,,No width measured,,No full units counted,,No material scrapped,35.91,Unit price available,.14,14%,452.02499999999998,20210101,25,-1.00,16.00,m,1,Insert,2021/12/01,9,31.5,14.350000000000000,14.35,0,452.02499999999998,-1071607683,0,The data value violates integrity constraints.

ST202112,2021,MST00004,*None,13.070,Length measured,,No width measured,,No full units counted,,No material scrapped,20.22,Unit price available,.14,14%,231.82052630000001,20210101,323,-1.00,30.00,m,1,Insert,2021/12/01,9,17.736842105263158,13.070000000000000,13.07,0,231.82052631578946,-1071607683,0,The data value violates integrity constraints.

ST2021120,2021,ALM00026,*None,2.520,Length measured,,No width measured,,No full units counted,,No material scrapped,57.00,Unit price available,.14,14%,126,20210101,26,-1.00,20.00,m,1,Insert,2021/12/01,9,50,2.520000000000000,2.52,0,126,-1071607683,0,The data value violates integrity constraints.

ST2021121,2021,ALM00027,*None,1.880,Length measured,,No width measured,,No full units counted,,No material scrapped,86.64,Unit price available,.14,14%,142.88,20210101,27,-1.00,25.00,m,1,Insert,2021/12/01,9,76,1.880000000000000,1.8799999999999999,0,142.88,-1071607683,0,The data value violates integrity constraints.

