M_Year,M_Material_Item_ID,M_Material_Type,M_Material_Item_Category,M_Material_Item_Detail_1,M_Material_Item_Detail_2,M_Material_Item_Size,M_Material_Item_Size_Unit_Of_Measure,M_Material_Item_Size_Note,M_Material_Item_Standard_Length_mm,M_Material_Item_Standard_Width_or_Diameter_mm,M_Material_Item_Standard_Height_mm,M_Material_Item_Standard_Interior_Diameter_mm,M_Material_Item_Standard_Thinkness_or_Wall_mm,M_Material_Item_Quantity_Unit_of_Measure,M_Material_Group,IBPT_ID,ErrorCode,ErrorColumn,ErrorDescription
2021,PSP00023,Perspex,Sheet,*None,*None,15,mm,*None,3050.00,2030.00,-1.00,-1.00,15.00,m²,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00035,Brass,Bar,Round,*None,32,mm,*None,-1.00,32.00,-1.00,-1.00,-1.00,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00055,Aluminium,Sheet,*None,*None,12.5,mm,*None,2500.00,1250.00,-1.00,-1.00,12.50,m²,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00062,Glass,Stopcock,Single way,PTFE,24-Aug,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00029,PVC,Tubing,*None,*None,75 x 67 x 4,mm,*None,-1.00,75.00,-1.00,67.00,4.00,m,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00049,Stainless steel,Sheet,*None,*None,2,mm,*None,2500.00,1250.00,-1.00,-1.00,2.00,m²,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00009,Aluminium,Bar,Flat,*None,12.7 x 3.15,mm,*None,-1.00,12.70,-1.00,-1.00,3.15,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00063,Mild steel,Bar,Round,*None,12,mm,*None,-1.00,12.00,-1.00,-1.00,-1.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00076,Aluminium,Tubing,Round,*None,31.7 x 1.8,mm,*None,-1.00,31.70,-1.00,29.90,1.80,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00077,Aluminium,Tubing,Round,*None,32 x 3.5,mm,*None,-1.00,32.00,-1.00,28.50,3.50,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00095,Stainless steel,Tubing,Square,*None,80.3 x 80.3 x 1.8,mm,*None,-1.00,80.30,80.30,-1.00,1.80,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00037,Brass,Bar,Round,*None,40,mm,*None,-1.00,40.00,-1.00,-1.00,-1.00,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,TFL00007,Teflon,Bar,Round,*None,60,mm,*None,-1.00,60.00,-1.00,-1.00,-1.00,m,Tufnol/Teflon,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00003,Perspex,Rod,*None,*None,10,mm,*None,-1.00,10.00,-1.00,-1.00,-1.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00029,Glass,Filter disc,Por 3,*None,30,mm,*None,-1.00,30.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,TFN00013,Tufnol,Tubing,*None,*None,19 x 12.5,mm,*None,-1.00,19.00,-1.00,12.50,6.50,m,Tufnol/Teflon,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00046,Stainless steel,Sheet,*None,*None,1,mm,*None,2500.00,1250.00,-1.00,-1.00,1.00,m²,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00054,Glass,Socket,*None,*None,29,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00077,Glass,Tubing,Boro,*None,14 x 2.2,mm,*None,-1.00,14.00,-1.00,-1.00,2.20,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00017,Glass,Cone,Langpunt,*None,45,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00072,Glass,Tubing,Boro,*None,12 x 1,mm,*None,-1.00,12.00,-1.00,-1.00,1.00,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00098,Glass,Tubing,Boro,*None,46 x 2.3,mm,*None,-1.00,46.00,-1.00,-1.00,2.30,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00078,Stainless steel,Tubing,Rectangular,*None,30 x 19.8 x 1.5,mm,*None,-1.00,30.00,19.80,-1.00,1.50,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00083,Stainless steel,Tubing,Round,*None,19 x 1.6,mm,*None,-1.00,19.00,-1.00,17.40,1.60,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,TFN00014,Tufnol,Tubing,*None,*None,19 x 15.5,mm,*None,-1.00,19.00,-1.00,15.50,3.50,m,Tufnol/Teflon,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00059,Aluminium,Sheet,*None,*None,30,mm,*None,2500.00,1250.00,-1.00,-1.00,30.00,m²,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00066,Aluminium,Tubing,Round,*None,15.8 x 1.6,mm,*None,-1.00,15.80,-1.00,14.20,1.60,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00033,Perspex,Tubing,Round,*None,30 x 26 x 2,mm,*None,-1.00,30.00,-1.00,26.00,2.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00038,Glass,Joint,Spherical,Cup,29,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00075,Mild steel,Sheet,*None,*None,0.5,mm,*None,2450.00,1225.00,-1.00,-1.00,.50,m²,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00091,Mild steel,Tubing,Rectangular,*None,76 x 50 x 2.5,mm,*None,-1.00,76.00,50.00,-1.00,2.50,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00070,Brass,Tubing,Round,*None,50.8 x 1.2,mm,*None,-1.00,50.80,-1.00,49.60,1.20,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00068,Brass,Tubing,Round,*None,38.1 x 1.2,mm,*None,-1.00,38.10,-1.00,36.90,1.20,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00103,Mild steel,Tubing,Round,*None,48.5 x 42.5 x 3,mm,*None,-1.00,48.50,-1.00,42.50,3.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00013,Brass,Bar,Flat,*None,76.5 x 6.25,mm,*None,-1.00,76.50,-1.00,-1.00,6.25,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00017,Brass,Bar,Hexagon,*None,8,mm,*None,-1.00,8.00,-1.00,-1.00,-1.00,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00011,PVC,Rod,*None,*None,40,mm,*None,-1.00,40.00,-1.00,-1.00,-1.00,m,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00006,Perspex,Sheet,Black,*None,5,mm,*None,3050.00,2030.00,-1.00,-1.00,5.00,m²,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00014,Perspex,Sheet,*None,*None,1.5,mm,*None,3050.00,2030.00,-1.00,-1.00,1.50,m²,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00048,Mild steel,Bar,Round,Bright,6,mm,*None,-1.00,6.00,-1.00,-1.00,-1.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00061,Aluminium,Sheet,*None,*None,50,mm,*None,2500.00,1250.00,-1.00,-1.00,50.00,m²,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00052,Brass,Sheet,*None,*None,6.7,mm,*None,2000.00,1000.00,-1.00,-1.00,6.70,m²,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00066,Glass,Tubing,Boro,*None,6 x 1,mm,*None,-1.00,6.00,-1.00,-1.00,1.00,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00092,Stainless steel,Tubing,Square,*None,20 x 20 x 1.5,mm,*None,-1.00,20.00,20.00,-1.00,1.50,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00009,Glass,Clip,Spherical,POM,NS13,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00083,Mild steel,Sheet,*None,*None,3,mm,*None,2450.00,1225.00,-1.00,-1.00,3.00,m²,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,TFL00009,Teflon,Sheet,*None,*None,16,mm,*None,1200.00,1200.00,-1.00,-1.00,16.00,m²,Tufnol/Teflon,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00093,Glass,Tubing,Boro,*None,38 x 2,mm,*None,-1.00,38.00,-1.00,-1.00,2.00,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00111,Mild steel,Tubing,Square,*None,12.7 x 12.7 x 1,mm,*None,-1.00,12.70,12.70,-1.00,1.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00022,Glass,Cone,*None,*None,34,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00012,Perspex,Sheet,White,*None,3,mm,*None,3050.00,2030.00,-1.00,-1.00,3.00,m²,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00025,Mild steel,Bar,Flat,*None,40 x 5,mm,*None,-1.00,40.00,-1.00,-1.00,5.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00026,Mild steel,Bar,Flat,*None,40 x 6,mm,*None,-1.00,40.00,-1.00,-1.00,6.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00032,Aluminium,Bar,Round,*None,51,mm,*None,-1.00,51.00,-1.00,-1.00,-1.00,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00014,Glass,Cone,Langpunt,*None,29,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00005,Stainless steel,Angle iron,*None,*None,64 x 64 x 6,mm,*None,-1.00,64.00,64.00,-1.00,6.00,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00115,Glass,Tubing,Boro,*None,120 x 5,mm,*None,-1.00,120.00,-1.00,-1.00,5.00,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00095,Mild steel,Tubing,Round,*None,32 x 28.5 x 1.75,mm,*None,-1.00,32.00,-1.00,28.50,1.75,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00004,Aluminium,Angle iron,*None,*None,25 x 25 x 2.2,mm,*None,-1.00,25.00,25.00,-1.00,2.20,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00022,Aluminium,Bar,Round,*None,10,mm,*None,-1.00,10.00,-1.00,-1.00,-1.00,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00090,Stainless steel,Tubing,Round,*None,50 x 1.2,mm,*None,-1.00,50.00,-1.00,48.80,1.20,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00008,Perspex,Sheet,Green,*None,3,mm,*None,3050.00,2030.00,-1.00,-1.00,3.00,m²,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00094,Mild steel,Tubing,Round,*None,25.5 x 21.6 x 2,mm,*None,-1.00,25.50,-1.00,21.60,2.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00016,Aluminium,Bar,Flat,*None,38 x 6.15,mm,*None,-1.00,38.00,-1.00,-1.00,6.15,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,VLN00001,Vescolene,Rod,*None,*None,20,mm,*None,-1.00,20.00,-1.00,-1.00,-1.00,m,Ertalon/Vescolene,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00094,Aluminium,Tubing,Round,*None,108 x 3.5,mm,*None,-1.00,108.00,-1.00,104.50,3.50,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00025,PVC,Tubing,*None,*None,25 x 20 x 2.5,mm,*None,-1.00,25.00,-1.00,20.00,2.50,m,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00018,Perspex,Sheet,*None,*None,5,mm,*None,3050.00,2030.00,-1.00,-1.00,5.00,m²,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00063,Brass,Tubing,Round,*None,28.6 x 1.8,mm,*None,-1.00,28.60,-1.00,26.80,1.80,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00088,Stainless steel,Tubing,Round,*None,44.45 x 1.5,mm,*None,-1.00,44.45,-1.00,42.95,1.50,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00098,Aluminium,Tubing,Square,*None,19.2 x 19.2 x 3.15,mm,*None,-1.00,19.20,19.20,-1.00,3.15,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00011,Mild steel,Angle iron,*None,*None,50 x 50 x 8,mm,*None,-1.00,50.00,50.00,-1.00,8.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00003,Glass,Clip,Conical,POM,NS29,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00079,Aluminium,Tubing,Round,*None,34.9 x 4.7,mm,*None,-1.00,34.90,-1.00,30.20,4.70,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,PPL00004,Polypropylene,Bar,Round,*None,30,mm,*None,-1.00,30.00,-1.00,-1.00,-1.00,m,Polypropylene,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00027,Glass,Filter disc,Por 3,*None,10,mm,*None,-1.00,10.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,PPL00019,Polypropylene,Sheet,*None,*None,60,mm,*None,1000.00,2000.00,-1.00,-1.00,60.00,m²,Polypropylene,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00078,Glass,Tubing,Boro,*None,15 x 1.8,mm,*None,-1.00,15.00,-1.00,-1.00,1.80,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00118,Glass,Tubing,Screw thread,*None,GL 18,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00034,Perspex,Tubing,Round,*None,40 x 30 x 5,mm,*None,-1.00,40.00,-1.00,30.00,5.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00044,Perspex,Tubing,Round,*None,80 x 74 x 3,mm,*None,-1.00,80.00,-1.00,74.00,3.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00119,Glass,Tubing,Screw thread,*None,GL 25,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,CPR00005,Copper,Tubing,*None,*None,15.9 x 0.8,mm,*None,-1.00,15.90,-1.00,15.10,.80,m,Copper,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00091,Glass,Tubing,Boro,*None,32 x 2,mm,*None,-1.00,32.00,-1.00,-1.00,2.00,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00064,Brass,Tubing,Round,*None,31.8 x 3.5,mm,*None,-1.00,31.80,-1.00,28.30,3.50,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,TFN00010,Tufnol,Tubing,*None,*None,12.5  x 9.5,mm,*None,-1.00,12.50,-1.00,9.50,3.00,m,Tufnol/Teflon,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00056,Glass,Socket,*None,*None,45,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,CPR00007,Copper,Tubing,*None,*None,22 x 1.5,mm,*None,-1.00,22.00,-1.00,20.50,1.50,m,Copper,5,-1071607683,0,The data value violates integrity constraints.

2021,TFN00009,Tufnol,Tubing,*None,*None,9.5 x 6,mm,*None,-1.00,9.50,-1.00,6.00,3.50,m,Tufnol/Teflon,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00024,Aluminium,Bar,Round,*None,12.7,mm,*None,-1.00,12.70,-1.00,-1.00,-1.00,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00105,Aluminium,Tubing,Square,*None,50.8 x 50.8 x 6,mm,*None,-1.00,50.80,50.80,-1.00,6.00,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00050,Aluminium,Sheet,*None,*None,3,mm,*None,2500.00,1250.00,-1.00,-1.00,3.00,m²,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00013,Mild steel,Angle iron,*None,*None,60 x 60 x 8,mm,*None,-1.00,60.00,60.00,-1.00,8.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00036,Perspex,Tubing,Round,*None,50 x 44 x 3,mm,*None,-1.00,50.00,-1.00,44.00,3.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00030,Glass,Filter disc,Por 3,*None,50,mm,*None,-1.00,50.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00055,Brass,Sheet,*None,*None,12.7,mm,*None,2000.00,1000.00,-1.00,-1.00,12.70,m²,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00030,Mild steel,Bar,Flat,*None,50 x 8,mm,*None,-1.00,50.00,-1.00,-1.00,8.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00042,Stainless steel,Sheet,Magnetic,Bright,1,mm,*None,-1.00,-1.00,-1.00,-1.00,1.00,m²,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,PPL00010,Polypropylene,Sheet,*None,*None,1.5,mm,*None,1000.00,2000.00,-1.00,-1.00,1.50,m²,Polypropylene,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00057,Stainless steel,Tubing,Dairy,*None,33.35 x 2.7,mm,*None,-1.00,33.35,-1.00,-1.00,2.70,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00092,Aluminium,Tubing,Round,*None,68.5 x 2.5,mm,*None,-1.00,68.50,-1.00,66.00,2.50,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00051,Glass,Socket,*None,*None,14,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00026,Perspex,Tubing,Round,*None,10 x 7 x 1.5,mm,*None,-1.00,10.00,-1.00,7.00,1.50,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00002,Aluminium,Angle iron,*None,*None,14.8 x 14.8 x 1.8,mm,*None,-1.00,14.80,14.80,-1.00,1.80,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00043,Mild steel,Bar,Hexagon,*None,27,mm,*None,-1.00,27.00,-1.00,-1.00,-1.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00104,Mild steel,Tubing,Round,*None,56 x 53 x 1.5,mm,*None,-1.00,56.00,-1.00,53.00,1.50,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00049,Brass,Sheet,Engraving,*None,3,mm,*None,600.00,2000.00,-1.00,-1.00,3.00,m²,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00071,Glass,Tubing,Boro,*None,10 x 1.5,mm,*None,-1.00,10.00,-1.00,-1.00,1.50,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00051,Stainless steel,Tubing,Dairy,*None,8 x 1.2,mm,*None,-1.00,8.00,-1.00,-1.00,1.20,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00072,Brass,Tubing,Round,*None,51 x 4.2,mm,*None,-1.00,51.00,-1.00,46.80,4.20,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00112,Mild steel,Tubing,Square,*None,12.7 x 12.7 x 1.6,mm,*None,-1.00,12.70,12.70,-1.00,1.60,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00035,Glass,Joint,Spherical,Ball,19,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00019,Mild steel,Bar,Flat,*None,25 x 6,mm,*None,-1.00,25.00,-1.00,-1.00,6.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00036,Glass,Joint,Spherical,Ball,29,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00070,Glass,Tubing,Boro,*None,9 x 1.5,mm,*None,-1.00,9.00,-1.00,-1.00,1.50,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00089,Stainless steel,Tubing,Round,*None,48.26 x 2.77,mm,*None,-1.00,48.26,-1.00,45.49,2.77,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00057,Brass,Tubing,Round,*None,10 x 1.6,mm,*None,-1.00,10.00,-1.00,8.40,1.60,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00024,PVC,Sheet,*None,*None,30,mm,*None,1000.00,2000.00,-1.00,-1.00,30.00,m²,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00072,Mild steel,Sheet,Galvinised,*None,1,mm,*None,2450.00,1225.00,-1.00,-1.00,1.00,m²,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00011,Brass,Bar,Flat,*None,51.03 x 3.3,mm,*None,-1.00,51.03,-1.00,-1.00,3.30,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00040,Perspex,Tubing,Round,*None,70 x 60 x 5,mm,*None,-1.00,70.00,-1.00,60.00,5.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00030,PVC,Tubing,*None,*None,110 x 105 x 2.5,mm,*None,-1.00,110.00,-1.00,105.00,2.50,m,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00023,PVC,Sheet,*None,*None,10,mm,*None,1000.00,2000.00,-1.00,-1.00,10.00,m²,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00113,Glass,Tubing,Boro,*None,95 x 2.5,mm,*None,-1.00,95.00,-1.00,-1.00,2.50,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00065,Stainless steel,Tubing,Hydraulic,*None,3.18 x 0.9,mm,*None,-1.00,3.18,-1.00,-1.00,.90,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00072,Stainless steel,Tubing,Hydraulic,*None,21.5 x 2,mm,*None,-1.00,21.50,-1.00,-1.00,2.00,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00053,Glass,Socket,*None,*None,24,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00110,Mild steel,Tubing,Round,*None,76 x 71 x 2.5,mm,*None,-1.00,76.00,-1.00,71.00,2.50,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00028,Mild steel,Bar,Flat,*None,40 x 10,mm,*None,-1.00,40.00,-1.00,-1.00,10.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00041,Mild steel,Bar,Hexagon,*None,19,mm,*None,-1.00,19.00,-1.00,-1.00,-1.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00021,Stainless steel,Bar,Round,*None,12.7,mm,*None,-1.00,12.70,-1.00,-1.00,-1.00,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00086,Glass,Tubing,Boro,*None,26 x 2,mm,*None,-1.00,26.00,-1.00,-1.00,2.00,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00073,Brass,Tubing,Round,*None,51 x 2,mm,*None,-1.00,51.00,-1.00,49.00,2.00,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,PTL00008,Polyethylene,Sheet,*None,*None,60,mm,*None,2000.00,1000.00,-1.00,-1.00,60.00,m²,Polyethylene,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00064,Aluminium,Tubing,Round,*None,9 x 1.1,mm,*None,-1.00,9.00,-1.00,7.90,1.10,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00075,Brass,Tubing,Round,*None,63.5 x 3.5,mm,*None,-1.00,63.50,-1.00,60.00,3.50,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00053,Perspex,Tubing,Round,*None,150 x 142 x 4,mm,*None,-1.00,150.00,-1.00,142.00,4.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00042,Brass,Bar,Square,*None,9.6 x 9.6,mm,*None,-1.00,9.60,9.60,-1.00,-1.00,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00006,PVC,Rod,*None,*None,15,mm,*None,-1.00,15.00,-1.00,-1.00,-1.00,m,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00013,PVC,Rod,*None,*None,60,mm,*None,-1.00,60.00,-1.00,-1.00,-1.00,m,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00086,Stainless steel,Tubing,Round,*None,38.1 x 1.5,mm,*None,-1.00,38.10,-1.00,36.60,1.50,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00064,Mild steel,Bar,Round,*None,20,mm,*None,-1.00,20.00,-1.00,-1.00,-1.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00015,PVC,Sheet,Simona,*None,5,mm,*None,2000.00,1000.00,-1.00,-1.00,5.00,m²,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00100,Mild steel,Tubing,Round,*None,48 x 44 x 2,mm,*None,-1.00,48.00,-1.00,44.00,2.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00022,Brass,Bar,Hexagon,*None,20,mm,*None,-1.00,20.00,-1.00,-1.00,-1.00,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00051,Mild steel,Bar,Round,Bright,12,mm,*None,-1.00,12.00,-1.00,-1.00,-1.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00070,Mild steel,Sheet,Galvinised,*None,0.5,mm,*None,2450.00,1225.00,-1.00,-1.00,.50,m²,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00112,Glass,Tubing,Boro,*None,90 x 3.5,mm,*None,-1.00,90.00,-1.00,-1.00,3.50,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

