M_Year,M_Material_Item_ID,M_Material_Type,M_Material_Item_Category,M_Material_Item_Detail_1,M_Material_Item_Detail_2,M_Material_Item_Size,M_Material_Item_Size_Unit_Of_Measure,M_Material_Item_Size_Note,M_Material_Item_Standard_Length_mm,M_Material_Item_Standard_Width_or_Diameter_mm,M_Material_Item_Standard_Height_mm,M_Material_Item_Standard_Interior_Diameter_mm,M_Material_Item_Standard_Thinkness_or_Wall_mm,M_Material_Item_Quantity_Unit_of_Measure,M_Material_Group,IBPT_ID,ErrorCode,ErrorColumn,ErrorDescription
2021,BRS00018,Brass,Bar,Hexagon,*None,9.55,mm,*None,-1.00,9.55,-1.00,-1.00,-1.00,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00040,Brass,Bar,Square,*None,6.35 x 6.35,mm,*None,-1.00,6.35,6.35,-1.00,-1.00,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00071,Mild steel,Sheet,Galvinised,*None,0.7,mm,*None,2450.00,1225.00,-1.00,-1.00,.70,m²,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00073,Mild steel,Sheet,Galvinised,*None,1.2,mm,*None,2450.00,1225.00,-1.00,-1.00,1.20,m²,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00055,Perspex,Tubing,Round,*None,200 x 190 x 5,mm,*None,-1.00,200.00,-1.00,190.00,5.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00085,Mild steel,Tubing,Rectangular,*None,26 x 9.5 x 1.3,mm,*None,-1.00,26.00,9.50,-1.00,1.30,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00056,Brass,Tubing,Round,*None,6.35 x 0.8,mm,*None,-1.00,6.35,-1.00,5.55,.80,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00034,Brass,Bar,Round,*None,30,mm,*None,-1.00,30.00,-1.00,-1.00,-1.00,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00096,Glass,Tubing,Boro,*None,44 x 2.3,mm,*None,-1.00,44.00,-1.00,-1.00,2.30,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00069,Aluminium,Tubing,Round,*None,19 x 1.8,mm,*None,-1.00,19.00,-1.00,17.20,1.80,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00089,Aluminium,Tubing,Round,*None,51.1 x 1.8,mm,*None,-1.00,51.10,-1.00,49.30,1.80,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00071,Brass,Tubing,Round,*None,51 x 4.6,mm,*None,-1.00,51.00,-1.00,46.40,4.60,m,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00084,Stainless steel,Tubing,Round,*None,22 x 2.5,mm,*None,-1.00,22.00,-1.00,19.50,2.50,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00015,Mild steel,Bar,Flat,*None,12.7 x 3.17,mm,*None,-1.00,12.70,-1.00,-1.00,3.17,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,NYL00001,Nylatron,Bar,Round,*None,50,mm,*None,-1.00,50.00,-1.00,-1.00,-1.00,m,Polypropylene,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00068,Glass,Tubing,Boro,*None,7 x 1.5,mm,*None,-1.00,7.00,-1.00,-1.00,1.50,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00093,Aluminium,Tubing,Round,*None,70 x 5,mm,*None,-1.00,70.00,-1.00,65.00,5.00,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00041,Perspex,Tubing,Round,*None,70 x 64 x 3,mm,*None,-1.00,70.00,-1.00,64.00,3.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,TFN00019,Tufnol,Tubing,*None,*None,65  x 50,mm,*None,-1.00,65.00,-1.00,50.00,15.00,m,Tufnol/Teflon,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00027,Aluminium,Bar,Round,*None,25,mm,*None,-1.00,25.00,-1.00,-1.00,-1.00,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,PCN00001,Polycarbonate,Rod,*None,*None,26,mm,*None,-1.00,26.00,-1.00,-1.00,-1.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00004,PVC,Rod,*None,*None,10,mm,*None,-1.00,10.00,-1.00,-1.00,-1.00,m,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00120,Glass,Tubing,Screw thread,*None,GL 32,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00055,Mild steel,Bar,Round,Bright,24,mm,*None,-1.00,24.00,-1.00,-1.00,-1.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00065,Glass,Stopcock,Single way,SWB,18.8 / 6,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00097,Glass,Tubing,Boro,*None,46 x 1.6,mm,*None,-1.00,46.00,-1.00,-1.00,1.60,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00046,Glass,Screw cap,Closed,*None,GL 18,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00008,Stainless steel,Bar,Flat,*None,25 x 6,mm,*None,-1.00,25.00,-1.00,-1.00,6.00,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,PPL00008,Polypropylene,Bar,Round,*None,60,mm,*None,-1.00,60.00,-1.00,-1.00,-1.00,m,Polypropylene,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00017,Perspex,Sheet,*None,*None,4,mm,*None,3050.00,2030.00,-1.00,-1.00,4.00,m²,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00083,Aluminium,Tubing,Round,*None,38.4 x 2,mm,*None,-1.00,38.40,-1.00,36.40,2.00,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00015,Stainless steel,Bar,Round,*None,4,mm,*None,-1.00,4.00,-1.00,-1.00,-1.00,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,PSP00001,Perspex,Rod,*None,*None,6,mm,*None,-1.00,6.00,-1.00,-1.00,-1.00,m,Perspex,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00014,Stainless steel,Bar,Round,*None,3.5,mm,*None,-1.00,3.50,-1.00,-1.00,-1.00,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00081,Mild steel,Sheet,*None,*None,1.6,mm,*None,2450.00,1225.00,-1.00,-1.00,1.60,m²,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00078,Mild steel,Sheet,*None,*None,1,mm,*None,2450.00,1225.00,-1.00,-1.00,1.00,m²,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00104,Glass,Tubing,Boro,*None,56 x 1.8,mm,*None,-1.00,56.00,-1.00,-1.00,1.80,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00106,Glass,Tubing,Boro,*None,60 x 3.2,mm,*None,-1.00,60.00,-1.00,-1.00,3.20,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00023,Glass,Cone,*None,*None,40,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00053,Aluminium,Sheet,*None,*None,8,mm,*None,2500.00,1250.00,-1.00,-1.00,8.00,m²,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00089,Glass,Tubing,Boro,*None,30 x 2,mm,*None,-1.00,30.00,-1.00,-1.00,2.00,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00034,Stainless steel,Bar,Square,*None,6 x 6,mm,*None,-1.00,6.00,6.00,-1.00,-1.00,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,VNT00003,Vesconite,Rod,*None,*None,25,mm,*None,-1.00,25.00,-1.00,-1.00,-1.00,m,Ertalon/Vescolene,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00055,Glass,Socket,*None,*None,40,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00063,Stainless steel,Tubing,Dairy,*None,63.5 x 1.6,mm,*None,-1.00,63.50,-1.00,-1.00,1.60,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00063,Aluminium,Tubing,Round,*None,8 x 1,mm,*None,-1.00,8.00,-1.00,7.00,1.00,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00048,Glass,Screw cap,Closed,*None,GL 32,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00018,Stainless steel,Bar,Round,*None,8,mm,*None,-1.00,8.00,-1.00,-1.00,-1.00,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00016,PVC,Sheet,Simona,*None,6,mm,*None,2000.00,1000.00,-1.00,-1.00,6.00,m²,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00002,Stainless steel,Angle iron,*None,*None,30 x 30 x 3,mm,*None,-1.00,30.00,30.00,-1.00,3.00,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00058,Mild steel,Bar,Round,Bright,30,mm,*None,-1.00,30.00,-1.00,-1.00,-1.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00005,PVC,Rod,*None,*None,12,mm,*None,-1.00,12.00,-1.00,-1.00,-1.00,m,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00055,Stainless steel,Tubing,Dairy,*None,25.4 x 1.5,mm,*None,-1.00,25.40,-1.00,-1.00,1.50,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00079,Mild steel,Sheet,*None,*None,1.2,mm,*None,2450.00,1225.00,-1.00,-1.00,1.20,m²,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00020,Glass,Cone,*None,*None,24,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00074,Mild steel,Sheet,Galvinised,*None,1.6,mm,*None,2450.00,1225.00,-1.00,-1.00,1.60,m²,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00058,Stainless steel,Tubing,Dairy,*None,41.26 x 1.6,mm,*None,-1.00,41.26,-1.00,-1.00,1.60,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00021,Mild steel,Bar,Flat,*None,30 x 3,mm,*None,-1.00,30.00,-1.00,-1.00,3.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00102,Glass,Tubing,Boro,*None,54 x 1.8,mm,*None,-1.00,54.00,-1.00,-1.00,1.80,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

