Material_Type,Material_Group
Aluminium,Aluminium
Brass,Brass
Copper,Copper
Ertalon,Ertalon/Vescolene
Ertalyte,Ertalon/Vescolene
Vescolene,Ertalon/Vescolene
Vesconite,Ertalon/Vescolene
Vesconylon,Ertalon/Vescolene
Glass,Glass
Mild steel,Mild steel
Perspex,Perspex
Polycarbonate,Perspex
Polyethylene,Polyethylene
Nylatron,Polypropylene
Polypropylene,Polypropylene
PVC,PVC
Stainless steel,Stainless steel
Teflon,Tufnol/Teflon
Tufnol,Tufnol/Teflon
