Project_ID,Request_Date,Customer_ID,Project_Category,Project_Description,Status,Labour_Costs,Material_Costs,Handling_Fee,Service_Billing_Number
P180160,2020/05/11,C00014-1-1,Engraving,Graveer 1 x plaatjie : Vir geskenk,,120,0,0,4945084
P180161,2020/05/11,C00001-5-14,Equipment,Manufacture : 1 x Sample Diluter (as per drawing),,14060,2428,1214,4937612
P180162,2020/01/24,C00001-9-2,Repairs,Herstel van perspex-buise (loogbuise),,1980,176,44,4950333
P180163,2020/03/23,C00003-4-3,Equipment,Sonkar,,400,464,116,5093518
P180164,2020/04/12,C00009-2-1,Engraving,Gravering : 1 x Naam vir ererolbord,,170,0,0,4958569
P180165,2020/05/17,C00003-2-4,Glass blowing,Vervaardig 3 x Rondebol Flesse/1 x 2-Nek Rondebolfles (250 ml)/1 x H-Buis (soos bespreek),,1750,1224,306,5212386
P180166,2020/05/17,C00001-5-15,Equipment,Welgegund : Container : Install 2 x cable entry boxes,,3900,688,172,4976320
P180167,2020/05/21,C00015-2-1,Equipment,Vervaardig 1 x kluishandvatsel,,1300,36,9,4957513
P180168,2020/05/14,C00002-13-6,Equipment,Manufacture 2 x Aluminium Poster Frames for an A0 Size Poster,,122,886.4,221.6,4941266
P180169,2020/05/21,C00001-11-15,Microscopes and Balances,Herstel van 17 x Balanse,,10200,108,27,5061309
P180170,2020/05/22,C00001-11-16,Repairs,Repair of 1 x Probe,,225,0,0,5002741
P180171,2020/05/17,C00002-4-1,Repairs,Veranderinge aan 1 x Medium en 1 x Klein Perpex Visbakke,,3450,0,0,5048302
P180172,2020/05/22,C00001-5-4,Equipment,Vervaardig 1 x inlet buis / Boor gaatjie vir fitting ,,450,8,2,4977132
P180173,2020/05/23,C00002-18-3,Equipment,Vervaardig 6 x 24-Vakkie Vrieskasrakkies,,12430,1576,394,4961468
P180174,2020/05/25,C00001-11-15,Repairs,Herstel van 1 x mantelverhitter,,600,4,1,
P180175,2020/05/21,C00002-15-3,Repairs,Herstel van stikstofgenereerder,,1225,4668,0,4980654
P180176,2020/05/29,C00001-5-4,Equipment,Sny van 1 x 4.5 mm Aluminiumplaat / 6 x Saddles vir 76 mm Vlekvryestaal pyp (15 mm hoog(,,7350,921.6,230.4,5058287
P180177,2020/05/31,C00001-2-2,Equipment,Sny van gate in kassie,,300,0,0,5003076
P180178,2020/06/01,C00001-5-16,Equipment,Vervaardig 2 x PVC-pype + 2 x inlate vir elke pyp,,1200,16,4,5024746
P180179,2020/06/04,C00016-1-1,Engraving,Gravering 1 x Goue plaatjie,,100,0,0,4996438
P180180,2020/06/04,C00005-1-2,Equipment,Vervaardig 1 x bracket vir kamera-lens,,1050,12,3,4989308
P180181,2020/06/05,C00003-2-1,Glass blowing,Vervaardig 1 x fles met flange,,750,956,239,5212386
P180182,2020/06/05,C00001-2-2,Equipment,Vervaardig 5 x Volledige Neutron Monitor-kassies (koperkassies ens.),,15137.5,776,194,5068051
P180183,2020/06/05,C00001-11-7,Equipment,Vacuum pump anti-vibration mountings,,2450,1924,481,5153556
P180184,2020/06/06,C00002-4-1,Equipment,Vervaardig 2 x Vistenkies,,1500,0,0,5048302
P180185,2020/06/06,C00002-3-2,Microscopes and Balances,Diens / herstel van 14 x balanse,Moved to Next Year,,,,
P180186,2020/06/07,C00015-1-1,Repairs,Afwerk van kraansleutel,,225,0,0,5008979
P180187,2020/06/11,C00001-5-4,Equipment,Vervaardig 4 x Steenkool-oonde (soos per tekeninge van C. Pemberton-Pigot,,14226,12840,1284,5002710
P180188,2020/06/11,C00002-21-3,Equipment,Olie-ruil van vakuumpomp + vervang vriesdroeer vakuumpyp + herstel dreinklep,,1125,136,34,5106920
P180189,2020/06/13,C00015-2-1,Equipment,"Vervaardig 1 x Vlekvryestaal ""drip tray"" vir ysmasjien",,600,212,53,5060302
P180190,2020/06/13,C00003-3-4,Glass blowing,Vervaardig 2 x buise met slypstukke,,450,272,68,5057309
P180191,2020/06/20,C00015-1-1,Repairs,Herstel van as,,300,10,2.5,5060263
P180192,2020/06/20,C00002-4-4,Microscopes and Balances,Vervang glasdeurtjie van balans,,150,50.4,12.6,5062143
P180193,2020/06/20,C00002-15-1,Repairs,Herstel van stikstofgenereerder,,1350,5046.4,1261.6,5094736
P180194,2020/06/21,C00001-9-1,Repairs,Herstel van vakuumpomp,,3750,3160,790,5312352
P180195,2020/06/22,C00001-5-17,Engraving,Gravering van 2 x medaljes,,160,0,0,5122074
P180196,2020/06/22,C00015-1-2,Equipment,Vervaardig Rigid threading masjien-as,,1950,200,50,5060302
P180197,2020/06/22,C00004-2-1,Equipment,Vervaardig 10 x Vlekvryestaal Stoom-oond Bakke + Vervaardig 6 x Wing Nut Studs,,1817.5,6715.2,1678.8,5153807/5153891
P180198,2020/07/02,C00001-5-10,Microscopes and Balances,Diens/herstel van 6 x mikroskope,,2700,0,0,5094938
P180199,2020/07/02,C00002-12-1,Repairs,Repair : Water bath,,1950,241.6,60.4,5045118
P180200,2020/07/02,C00003-6-3,Repairs,Aanbring van veranderinge aan termostaat,,150,0,0,5070506
P180201,2020/07/02,C00002-5-5,Equipment,Skuif van ysmasjien en watersuiweraar,,1050,0,0,5048294
P180202,2020/07/03,C00001-5-18,Glass blowing,Vervaardig 40 x glasbuisies,,450,120,30,5089434
P180203,2020/06/13,C00017-1=1,Engraving,Gravering van 1 x Trofee,,,,,
P180204,2020/06/21,C00001-1-1,Equipment,Veranderinge aan tafels,,,,,
P180205,2020/06/25,C00001-11-13,Equipment,Diens van vakuumpomp/herbou van kompressor-pomp,,2215,3516,879,5052982
P180206,2020/07/03,C00001-5-4,Equipment,Aankoop van 20 x Triclover seëls/Vassweis van boutjies aan 7 x clamps,,600,704,176,5114749
P180207,2020/06/28,C00002-15-1,Repairs,Skoonmaak en behandeling van VVS komponente,,1800,0,0,5306949
P180208,2020/07/04,C00002-8-1,Equipment,Diens van shredder,,1400,0,0,5122745
P180209,2020/07/06,C00019-1-1,Engraving,Gravering van bord vir deur,,225,30,0,5087160
P180210,2020/07/06,C00001-11-1,Repairs,Diens van 1 x reaktor,,300,0,0,5073267
P180211,2020/07/11,C00002-3-1,Equipment,Aanbring van ekstra groewe op kolomme,,300,0,0,5121707
P180212,2020/07/11,C00003-3-4,Glass blowing,Verandering aan 1 x koueval,,225,120,30,5088675
P180213,2020/07/11,C00001-5-8,Equipment,Vervaardig 20 x Hawksley Slides (3 x 3 mm blokke),,8030,440,110,5148638
P180214,2020/07/12,C00001-11-13,Equipment,Vervang olie van vakuumpomp : Model Nr. RV12 - Serial Nr. 9821685 22,,225,44,11,5135086
P180215,2020/07/12,C00003-4-3,Equipment,Aankoop van 3 mm Aluminiumplaat 335 x 240 mm,,75,36,9,5222257
P180216,2020/07/09,C00002-13-1,Repairs,Herstel van kapsulevuller-masjien,,3905,0.8,0.2,5090547
P180217,2020/07/09,C00001-11-8,Repairs,Diens en herstelwerk aan lab. Toerusting,,3750,2880,720,5153363
P180218,2020/07/12,C00003-3-4,Equipment,Vervaardig 1 x 90 x 200 Dewarfles,,2524,92.8,23.2,5190607
P180219,2020/07/13,C00002-8-2,Repairs,Herstel van waterbad,,4000,820,205,5164706/5164730
P180220,2020/07/16,C00002-8-2,Equipment,Voorsien pyp,,50,112,28,5133853
P180221,2020/07/16,C00004-1-2,Repairs,Herstel van porsieraam,,150,0,0,5074970
P180222,2020/07/17,C00002-19-1,Repairs,Herstel van koffiemasjien,,450,0,0,5134198
P180223,2020/07/06,C00001-8-1,Engraving,Gravering van 9 x plaatjies vir trofees/9 x Klein Vierkantskildjies,,2610,270,0,5124405
P180224,2020/07/18,C00001-11-8,,Herstel van rotavapor,Not repearable,,,,
P180225,2020/07/19,C00001-2-2,Equipment,Vervaardiging van 50 x Volledige Neutron Monitorkassies,,148391,8487.2,2121.8,5317139
P180226,2020/07/19,C00001-2-2,,Herstel + veranderinge (restorasie) aan 3 x Neutron Monitors,,,,,
P180227,2020/07/19,C00001-2-2,,Vervaardiging van nuwe lywe : 1 x lyf klein dia buis; sluit lood en trollie in/2 x groot dia buis; sluit lood en trollie in/groot dia buis; nie nodig vir lood; trollie en moderator,,,,,
P180228,2020/07/20,C00001-1-1,Repairs,Herstel van teleskoop,,900,656,0,5236222
P180229,2020/07/20,C00002-4-5,,Vervaardig 1 x Radioligandbad met 30 proef-openinge,,,,,
P180230,2020/07/23,C00001-11-4,Equipment,Modifiseer van konduktiwiteitsmeter (toetsapparaat) (Electrical properties of chromite pellets),,700,3.2,0.8,5363494
P180231,2020/07/23,C00001-5-4,Equipment,Modifiseer / Vervaardiging van pyp fittings,,2250,180,45,5172892
P180232,2020/07/24,C00020-1-1,Repairs,Herstel van 1 x klein + 1 x groot bain maries,,4800,1416,354,5353489
P180233,2020/07/24,C00001-7-1,Glass blowing,Manufacture glass experiments as per sample and drawings,,2100,520,130,5234182
P180234,2020/07/24,C00001-5-8,Repairs,Herstel van sif,,800,160,40,5414152
P180235,2020/07/25,C00001-11-7,Repairs,Repair Partisol Vacuum Pump,,1575,0,0,5455244
P180236,2020/07/25,C00001-11-17,Equipment,Vervaardig 1 x glassnyer,,4900,1672.8,418.2,5267783
P180237,2020/07/25,C00001-11-7,Equipment,Service of Circulation Fan,,2400,80,20,5206074
P180238,2020/07/26,C00021-1-1,,Gravering van plaatjie vir skildery,Moved to External,,,,
P180239,2020/07/26,C00022-1-1,Engraving,Gravering van 1 x ererolplaatjie,,200,50,0,5183937
