Year,Item ID,Material,Item Category,Item Detail 1,Item Detail 2,Item Size,Size Unit of Measure,Size Note,Comment,Standard Length (mm),Standard Width or Diameter (mm),Standard Height (mm),Standard Interior Diameter (mm),Standard Thinkness / Wall (mm),Item Length Measured (m),Item Width Measured (m),Full Units Counted,Quantity Unit of Measure,Quantity Scapped,Unit price incl VAT,VAT,Source Quantity on hand value excl VAT rounded
2020,BRS00009,Brass,Bar,Flat,,38.46 x 4.8,mm,,No Unit Price available,,38.46,,,4.8,3.574,,,m,,,0.14,0
2020,BRS00010,Brass,Bar,Flat,,38.52 x 3.25,mm,,No Unit Price available,,38.52,,,3.25,0,,,m,,,0.14,0
2020,BRS00011,Brass,Bar,Flat,,51.03 x 3.3,mm,,,,51.03,,,3.3,5.205,,,m,,77.75,0.14,354.9901316
2020,BRS00012,Brass,Bar,Flat,,75.38 x 15.55,mm,,No Unit Price available,,75.38,,,15.55,2.8,,,m,,,0.14,0
2020,BRS00013,Brass,Bar,Flat,,76.5 x 6.25,mm,,No Unit Price available,,76.5,,,6.25,2.455,,,m,,,0.14,0
2020,BRS00014,Brass,Bar,Flat,,76.5 x 6.7,mm,,No Unit Price available,,76.5,,,6.7,3.75,,,m,,,0.14,0
2020,BRS00015,Brass,Bar,Flat,,76.59 x 9.64,mm,,No Unit Price available,,76.59,,,9.64,1.725,,,m,,,0.14,0
2020,MST00014,Mild steel,Bar,Flat,,12 x 3,mm,,,,12,,,3,0.94,,,m,,4.01,0.14,3.306491228
2020,MST00015,Mild steel,Bar,Flat,,12.7 x 3.17,mm,,No Unit Price available,,12.7,,,3.17,11.39,,,m,,,0.14,0
2020,MST00016,Mild steel,Bar,Flat,,20 x 3,mm,,,,20,,,3,5,,,m,,7.2,0.14,31.57894737
2020,MST00017,Mild steel,Bar,Flat,,20 x 5,mm,,,,20,,,5,6,,,m,,11.3,0.14,59.47368421
2020,MST00018,Mild steel,Bar,Flat,,25 x 5,mm,,,,25,,,5,18,,,m,,14.12,0.14,222.9473684
2020,MST00019,Mild steel,Bar,Flat,,25 x 6,mm,,,,25,,,6,10.1,,,m,,16.91,0.14,149.8166667
2020,MST00020,Mild steel,Bar,Flat,,25 x 8,mm,,,,25,,,8,40.83,,,m,,24.52,0.14,878.2031579
2020,MST00021,Mild steel,Bar,Flat,,30 x 3,mm,,,,30,,,3,3.82,,,m,,10.81,0.14,36.22298246
2020,MST00022,Mild steel,Bar,Flat,,30 x 5,mm,,,,30,,,5,2.93,,,m,,16.95,0.14,43.56447368
2020,MST00023,Mild steel,Bar,Flat,,30 x 6,mm,,,,30,,,6,24,,,m,,20.25,0.14,426.3157895
2020,MST00024,Mild steel,Bar,Flat,,30 x 8,mm,,,,30,,,8,6,,,m,,26.98,0.14,142
2020,MST00025,Mild steel,Bar,Flat,,40 x 5,mm,,,,40,,,5,14.76,,,m,,22.49,0.14,291.1863158
2020,MST00026,Mild steel,Bar,Flat,,40 x 6,mm,,,,40,,,6,0,,,m,,26.9,0.14,0
2020,MST00027,Mild steel,Bar,Flat,,40 x 8,mm,,,,40,,,8,28.6,,,m,,35.81,0.14,898.3912281
2020,MST00028,Mild steel,Bar,Flat,,40 x 10,mm,,,,40,,,10,2.33,,,m,,37.7,0.14,77.05350877
2020,MST00029,Mild steel,Bar,Flat,,50 x 6,mm,,,,50,,,6,7.38,,,m,,33.62,0.14,217.6452632
2020,MST00030,Mild steel,Bar,Flat,,50 x 8,mm,,,,50,,,8,11.29,,,m,,44.76,0.14,443.2810526
2020,MST00031,Mild steel,Bar,Flat,,50 x 10,mm,,,,50,,,10,26.44,,,m,,55.8,0.14,1294.168421
2020,MST00032,Mild steel,Bar,Flat,,60 x 6,mm,,,,60,,,6,1.7,,,m,,53.6,0.14,79.92982456
2020,MST00033,Mild steel,Bar,Flat,,60 x 8,mm,,,,60,,,8,6,,,m,,53.6,0.14,282.1052632
2020,MST00034,Mild steel,Bar,Flat,,60 x 16,mm,,,,60,,,16,1.235,,,m,,53.6,0.14,58.06666667
2020,MST00035,Mild steel,Bar,Flat,,80 x 6,mm,,,,80,,,6,2.335,,,m,,53.61,0.14,109.8064474
2020,MST00037,Mild steel,Bar,Flat,,100 x 6,mm,,,,100,,,6,6.43,,,m,,69.11,0.14,389.8046491
2020,MST00038,Mild steel,Bar,Flat,,100 x 8,mm,,,,100,,,8,6,,,m,,86.66,0.14,456.1052632
